ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
0,Never,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Never,Never,Always,Never,Sometimes,Always,Never,Never,True
1,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Always,Sometimes,False
2,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Never,Never,Sometimes,True
3,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Always,Never,Never,Sometimes,False
4,Always,Never,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,True
5,Never,Always,Never,Always,Sometimes,Always,Never,Never,Always,Always,Sometimes,Sometimes,Always,Never,Always,Never,Never,Sometimes,Always,Never,False
6,Always,Sometimes,Always,Never,Sometimes,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,True
7,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Sometimes,Sometimes,Always,Always,False
8,Always,Sometimes,Always,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Never,Always,Always,Never,True
9,Never,Always,Never,Never,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,False
10,Never,Never,Sometimes,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,True
11,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,False
12,Sometimes,Never,Always,Always,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,True
13,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,Never,Never,Sometimes,Always,Always,Never,Never,Always,Never,Never,False
14,Always,Always,Always,Never,Always,Always,Always,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Always,Always,Never,True
