ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Party?
P366,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n,democrat
P39,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,democrat
P380,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P220,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,democrat
P58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P338,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P162,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,democrat
P92,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P402,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
P231,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,democrat
P83,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P341,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,republican
P354,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y,republican
P34,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P257,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,republican
P185,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,democrat
P259,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P102,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,democrat
P369,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,democrat
P428,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,republican
P271,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P215,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P311,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,republican
P94,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,democrat
P399,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,democrat
P352,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y,republican
P91,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P307,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P176,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P236,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
P317,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n,democrat
P159,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P309,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P143,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,republican
P294,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,democrat
P346,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y,republican
P86,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,democrat
P417,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,republican
