ID,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,LAST,OUTPUT
1,1,1,0,0,0,0,1,1,1,1,1,1
2,0,1,0,1,0,0,1,0,0,1,1,0
3,1,0,1,1,1,1,0,0,1,0,1,1
4,1,0,1,0,0,1,1,0,1,1,1,1
5,1,0,1,0,1,0,1,0,0,0,1,0
6,1,1,0,0,1,0,0,1,0,1,1,1
7,0,0,1,1,1,1,1,1,0,1,1,1
8,0,1,1,0,0,1,0,1,1,0,1,1
9,0,0,1,0,0,0,0,1,0,0,1,0
10,0,1,0,1,0,0,1,0,0,0,1,0
11,0,0,1,1,0,0,1,1,0,0,1,0
12,1,0,1,0,1,1,1,0,1,1,1,1
13,0,1,0,1,0,1,0,0,0,0,1,0
14,0,1,0,0,0,0,1,1,0,0,1,0
15,1,1,0,1,0,1,1,1,0,0,1,1
16,1,1,1,0,0,0,1,0,0,1,1,1
17,1,0,0,1,0,0,0,1,1,1,1,1
18,1,1,1,1,0,0,0,0,1,0,1,1
19,1,1,0,1,1,1,1,0,1,1,1,1
20,1,1,0,0,1,0,1,1,0,1,1,1
21,0,1,1,0,0,1,0,0,0,0,1,0
22,1,1,0,1,0,0,1,0,0,0,1,0
23,1,1,0,1,1,0,0,1,0,0,1,1
24,0,1,0,1,1,1,1,1,0,1,1,1
25,1,0,0,0,0,0,1,1,0,0,1,0
26,1,1,0,1,0,1,0,1,1,0,1,1
27,1,0,0,0,0,1,1,1,0,1,1,1
28,1,1,0,1,0,1,1,1,0,1,1,1
29,0,0,0,1,0,1,0,1,1,0,1,0
30,0,0,0,0,1,1,0,1,0,1,1,0
31,0,1,0,1,1,1,0,1,1,1,1,1
32,1,0,0,1,0,0,1,0,0,1,1,0
33,1,1,1,0,0,1,0,0,0,1,1,1
34,0,0,1,1,1,0,1,1,1,0,1,1
35,1,1,1,1,1,1,1,1,0,1,1,1
36,0,0,1,0,1,1,0,0,0,1,1,0
37,0,1,1,1,1,1,1,0,0,0,1,1
38,1,1,0,0,0,0,1,1,0,0,1,0
39,1,0,1,0,0,1,0,1,1,1,1,1
40,0,1,1,1,0,0,1,0,0,0,1,0
41,0,1,0,1,1,1,0,1,1,0,1,1
42,1,0,0,1,1,1,0,0,1,1,1,1
43,0,1,0,0,1,1,0,0,1,1,1,1
44,1,0,0,0,1,0,0,0,1,1,1,0
45,1,1,1,1,0,1,0,0,0,0,1,1
46,1,0,0,0,0,0,0,0,0,1,1,0
47,0,0,1,1,1,1,0,0,0,1,1,1
48,1,0,1,0,0,1,0,0,0,0,1,0
49,0,0,1,0,1,0,1,1,0,0,1,0
50,1,1,0,1,1,1,1,1,0,1,1,1
51,1,1,1,0,1,0,1,1,1,0,1,1
52,0,1,1,0,1,1,0,0,0,0,1,0
53,1,1,1,0,0,0,1,1,1,0,1,1
54,0,0,0,1,0,1,1,0,1,1,1,1
55,0,1,0,0,0,0,1,1,1,0,1,0
56,1,0,1,0,1,0,0,1,0,0,1,0
57,1,0,0,1,1,0,1,1,0,1,1,1
58,0,0,1,0,1,0,0,1,0,1,1,0
59,0,0,1,0,0,0,0,0,1,0,1,0
60,1,0,1,0,1,1,0,1,0,0,1,1
61,0,1,1,1,0,1,0,0,0,0,1,0
62,0,0,0,1,1,1,0,1,1,1,1,1
63,0,0,1,1,1,0,0,1,1,0,1,1
